OBJECTID,Zip Code,Index Score,Index Quartile,Retail Bldgs 2000,New Retail Bldgs 2000-14,Total Retail Bldgs 2014,Ret Inv 2000 (SF),Ret Inv 2014 (SF),% Change in Retail Bldgs 2000-14,% Change in Retail SF 2000-14,% Chg in Avg Retail Bldg SF 2000-14,Change in Total Acres 2000-14,New MF Projects 2000-14,MF Projects Sold at Least Once between 2000-14, % of New MF Projects Sold at Least Once 2000-14,New MF SF 2000-14,New MF Acres 2000-14,New MF Units 2000-14,New Studios 2000-14,New 1 BR 2000-14,New 2 BR 2000-14,New 3 BR 2000-14,New 4 BR 2000-14,% Studio,% 1BR,% 2BR,% 3BR,% 4BR
28,90031,0.469,4,194,4,198,1259596,1286710,0.02062,0.02152595,0.00089,0.01580,10,1,0.1,902708,10.5085,741,102,130,184,179,115,0.1437,0.1831,0.2592,0.2521,0.1620
29,90032,0.429,4,117,3,120,561787,583977,0.02564,0.039498956,0.01350,0.04380,4,2,0.5,78262,1.506,93,0,70,6,7,10,0.0000,0.7527,0.0645,0.0753,0.1075
31,90034,0.434,4,270,6,276,1668102,1689116,0.02222,0.012597551,-0.00942,0.01140,39,9,0.230769231,941818,9.1656,770,89,353,225,47,0,0.1246,0.4944,0.3151,0.0658,0.0000
35,90038,0.545,4,208,5,213,1712209,1739555,0.02404,0.015971181,-0.00788,0.01890,12,3,0.25,358412,3.5292,350,42,162,111,11,0,0.1288,0.4969,0.3405,0.0337,0.0000
38,90042,0.496,4,319,5,324,1483859,1578691,0.01567,0.063909037,0.04750,0.01500,6,1,0.166666667,83811,2.1152,66,0,0,15,0,1,0.0000,0.0000,0.9375,0.0000,0.0625
44,90048,0.424,4,318,6,324,3005340,3063638,0.01887,0.019398138,0.00052,0.01800,14,3,0.214285714,437750,3.5046,361,1,161,111,48,0,0.0031,0.5016,0.3458,0.1495,0.0000
53,90065,0.462,4,185,3,188,1375739,1392188,0.01622,0.011956483,-0.00419,0.00076,3,0,0,208899,19.6248,205,0,24,96,85,0,0.0000,0.1171,0.4683,0.4146,0.0000
66,90291,0.539,4,226,14,240,1185852,1233287,0.06195,0.040000776,-0.02070,0.03280,8,2,0.25,230775,3.099,204,16,129,40,6,0,0.0838,0.6754,0.2094,0.0314,0.0000
106,91601,0.525,4,382,10,392,1764062,1903917,0.02618,0.079280093,0.05170,0.06160,40,9,0.225,2796311,26.5285,2752,322,1134,959,166,12,0.1242,0.4373,0.3698,0.0640,0.0046
109,91605,0.433,4,195,7,202,1751161,1816027,0.03590,0.037041711,0.00110,0.06535,31,7,0.225806452,659806,12.3878,651,12,222,181,113,32,0.0214,0.3964,0.3232,0.2018,0.0571
110,91606,0.422,4,241,4,245,2337870,2397468,0.01660,0.025492435,0.00875,0.02200,10,4,0.4,353661,4.2715,280,0,138,75,27,0,0.0000,0.5750,0.3125,0.1125,0.0000
